Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2023-08-10,778.56689453125,787.3242072929075,776.2585957955158,783.8974605200834,50781118
2023-08-11,770.4521484375,779.7805663050679,769.2146572310627,779.7805663050679,28225822
2023-08-14,766.6921997070312,768.6435432125793,761.6234241646625,766.7397821148392,31304410
2023-08-16,764.4552612304688,766.0972900698399,752.6043946326229,753.4610522852615,34137542
2023-08-17,760.2194213867188,766.2162572075501,758.648795246373,760.3621686097279,52884040
2023-08-18,757.1019897460938,759.7434815021594,754.6033033112882,755.5790041108168,25633366
2023-08-21,756.507080078125,761.7424231928525,755.3172293702323,761.7424231928525,21837270
2023-08-22,753.2706298828125,760.5525391350785,751.9856144139075,759.7672260826693,32273570
2023-08-23,755.1268310546875,757.0068300057183,748.7730399832213,751.9856368495088,36498588
2023-08-24,751.6524658203125,759.6958096283671,750.1532424016966,758.315629371338,43145792
2023-08-25,743.1807250976562,750.7957693509784,741.7053218932105,749.3917688060429,30069756
2023-08-28,750.9147338867188,753.2468527451717,743.1807047783941,743.1807047783941,28867238
2023-08-29,756.8878173828125,758.0062653722053,752.6756996106977,756.602206748775,35538932
2023-08-30,751.3668823242188,763.3843741627429,748.9871809700555,763.3843741627429,28084204
2023-08-31,747.9163208007812,753.4848568689334,743.942231130058,751.5096931109757,100075772
2023-09-01,749.463134765625,751.5097012064085,742.1574630961421,747.7021789710373,43226776
2023-09-04,754.151123046875,757.4350641917453,749.5582881568207,756.7449740898634,25073638
2023-09-05,749.558349609375,755.9835433123793,747.5117831906283,755.9835433123793,38712082
2023-09-06,759.3627319335938,761.5044632364462,749.5583735890605,750.4626717587897,56320910
2023-09-07,766.6683959960938,768.1676195125477,755.3886344878764,759.3627242455204,34208342
2023-09-08,772.6414794921875,777.162912253546,765.1215996603405,765.454792722717,34502210
2023-09-11,776.639404296875,778.8763004662131,772.9270467199085,775.2591658080961,31573022
2023-09-12,779.066650390625,781.9222920502413,773.4267697325184,780.5420536284578,39033340
2023-09-13,782.3982543945312,786.0629713884649,775.1163447178508,776.4014183598308,46420094
2023-09-14,781.9223022460938,785.3014666343998,778.2099448009141,782.5648100082497,23538848
2023-09-15,790.8937377929688,794.820244991279,785.3014396620421,785.3014396620421,173411202
2023-09-18,775.3305053710938,787.6811319039731,773.9264467423288,787.0862065777616,37056288
2023-09-20,744.227783203125,761.0284981143387,742.6572151578558,761.0284981143387,115474648
2023-09-21,739.3018188476562,746.7264755611649,731.544027178983,739.135251370074,72841442
2023-09-22,728.0220336914062,744.5609578028004,725.2139745248004,741.9908687672938,61704250
2023-09-25,728.66455078125,733.2811481445774,725.8089091713953,725.8089091713953,40208754
2023-09-26,731.82958984375,732.9480378923265,725.8089336271415,725.8089336271415,27575308
2023-09-27,726.6893920898438,729.3784662440822,721.0495114908872,724.8570336637764,39338538
2023-09-28,725.190185546875,731.8057670963707,722.6439166539388,730.092393698201,55354188
2023-09-29,726.4276733398438,730.7824804277163,724.5239122179133,725.190182132046,32053782
2023-10-03,717.74169921875,726.7607434903796,716.7659984914942,726.7607434903796,38971694
2023-10-04,727.9744873046875,730.5683386227407,708.7940705497829,711.5307271928322,54649430
2023-10-05,730.9252319335938,738.4451110508064,729.4260085408247,730.592097001056,48512674
2023-10-06,730.1162109375,735.3277337725387,728.1172268994053,734.8517934917799,17759356
2023-10-09,721.6444091796875,728.1885876635923,719.6216631028442,727.2367071568425,16454972
2023-10-10,725.7374877929688,727.7126514751427,721.1446527026108,723.6909795509304,33266292
2023-10-11,732.7576293945312,733.9713003244922,727.4747040076344,728.2361968213729,31333360
